Metodo,Tiempo_s,TP,FP,TN,FN,Precision,Recall,Accuracy,F1-Score
Entropia temperatura por dias (maximo),0.0786,275,0,424,0,1.0,1.0,1.0,1.0
Entropia temperatura por dias (media),0.084,275,2,422,0,0.9928,1.0,0.9971,0.9964
Entropia temperatura por dias (percentil_25),0.0834,275,33,391,0,0.8929,1.0,0.9528,0.9434
Entropia temperatura por horas (maximo),0.0404,97,0,242,0,1.0,1.0,1.0,1.0
Entropia temperatura por horas (media),0.0326,97,1,241,0,0.9898,1.0,0.9971,0.9949
Entropia temperatura por horas (percentil_25),0.0417,97,33,209,0,0.7462,1.0,0.9027,0.8546
