id_measurement,id_rp,id_sensor,temperature,measured_date,humidity,save_date
97,1,1,28,2021-04-23 21:57:36.83864+02,32,2021-04-26 09:39:02.203335
98,1,1,28,2021-04-23 22:02:36.938649+02,32,2021-04-26 09:39:02.376175
99,1,1,28,2021-04-23 22:07:37.038838+02,32,2021-04-26 09:39:02.513179
100,1,1,28,2021-04-23 22:12:37.13885+02,32,2021-04-26 09:39:02.670248
101,1,1,28,2021-04-23 22:17:37.238972+02,32,2021-04-26 09:39:02.804874
102,1,1,28,2021-04-23 22:22:37.339095+02,32,2021-04-26 09:39:02.949153
103,1,1,28,2021-04-23 22:27:37.43915+02,32,2021-04-26 09:39:03.092281
104,1,1,28,2021-04-23 22:32:37.539457+02,32,2021-04-26 09:39:03.239898
105,1,1,28,2021-04-23 22:37:37.639545+02,32,2021-04-26 09:39:03.399072
106,1,1,28,2021-04-23 22:42:37.739679+02,32,2021-04-26 09:39:03.532802
107,1,1,28,2021-04-23 22:47:37.839767+02,32,2021-04-26 09:39:03.673568
108,1,1,28,2021-04-23 22:52:37.939817+02,32,2021-04-26 09:39:03.816729
109,1,1,28,2021-04-23 22:57:38.039914+02,32,2021-04-26 09:39:03.963479
110,1,1,28,2021-04-23 23:02:38.140083+02,32,2021-04-26 09:39:04.118205
111,1,1,28,2021-04-23 23:07:38.240018+02,32,2021-04-26 09:39:04.256576
112,1,1,28,2021-04-23 23:12:38.597997+02,33,2021-04-26 09:39:04.404515
113,1,1,27,2021-04-23 23:17:38.698398+02,34,2021-04-26 09:39:04.5333
114,1,1,27,2021-04-23 23:22:38.798467+02,34,2021-04-26 09:39:04.671198
115,1,1,27,2021-04-23 23:27:38.898635+02,34,2021-04-26 09:39:04.822351
116,1,1,27,2021-04-23 23:32:38.998735+02,34,2021-04-26 09:39:04.962444
117,1,1,27,2021-04-23 23:37:39.098819+02,34,2021-04-26 09:39:05.094964
118,1,1,26,2021-04-23 23:42:39.199054+02,34,2021-04-26 09:39:05.247542
119,1,1,26,2021-04-23 23:47:39.299186+02,35,2021-04-26 09:39:05.386806
120,1,1,26,2021-04-23 23:52:39.399176+02,35,2021-04-26 09:39:05.534176
121,1,1,26,2021-04-23 23:57:39.493604+02,35,2021-04-26 09:39:05.683975
122,1,1,26,2021-04-24 00:02:39.593816+02,35,2021-04-26 09:39:05.820645
123,1,1,26,2021-04-24 00:07:39.631936+02,36,2021-04-26 09:39:05.964339
124,1,1,25,2021-04-24 00:12:39.732045+02,36,2021-04-26 09:39:06.107191
125,1,1,25,2021-04-24 00:17:39.832142+02,36,2021-04-26 09:39:06.252133
126,1,1,25,2021-04-24 00:22:39.932276+02,36,2021-04-26 09:39:06.403709
127,1,1,25,2021-04-24 00:27:40.032334+02,36,2021-04-26 09:39:06.565417
128,1,1,25,2021-04-24 00:32:40.132659+02,36,2021-04-26 09:39:06.726201
129,1,1,25,2021-04-24 00:37:40.232739+02,37,2021-04-26 09:39:06.869743
130,1,1,24,2021-04-24 00:42:40.332889+02,37,2021-04-26 09:39:07.004882
131,1,1,24,2021-04-24 00:47:40.432885+02,37,2021-04-26 09:39:07.145967
133,1,1,24,2021-04-24 00:57:40.604674+02,37,2021-04-26 09:39:07.449232
132,1,1,24,2021-04-24 00:52:40.533038+02,37,2021-04-26 09:39:07.307447
134,1,1,24,2021-04-24 01:02:40.679123+02,37,2021-04-26 09:39:07.598207
135,1,1,24,2021-04-24 01:07:40.779248+02,37,2021-04-26 09:39:07.750332
136,1,1,24,2021-04-24 01:12:40.87936+02,37,2021-04-26 09:39:07.903854
